OBJECTID,Station_ID,Sample_Year,Waterbody_Name,Sample_Type,Fish_Species,Municipality,Subregional_Basin_Code,Sample_ID,Quantity,County,x,y
17204,15013,2007,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,150132007,27,New Haven,-72.9055999999999,41.4259000000001
17217,15013,2009,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,150132009,7,New Haven,-72.9055999999999,41.4259000000001
17228,15013,2011,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,150132011,2,New Haven,-72.9055999999999,41.4259000000001
17243,15013,2013,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,150132013,2,New Haven,-72.9055999999999,41.4259000000001
17253,15014,1989,Clark Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HADDAM,4000,150141989,29,Middlesex,-72.4734999999999,41.4425000000001
17256,15014,2003,Clark Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HADDAM,4000,150142003,13,Middlesex,-72.4734999999999,41.4425000000001
17260,15014,2012,Clark Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HADDAM,4000,150142012,34,Middlesex,-72.4734999999999,41.4425000000001
17264,15015,1993,Seth Williams Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LEDYARD,2103,150151993,30,New London,-71.9741,41.4399000000001
17274,15015,2003,Seth Williams Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LEDYARD,2103,150152003,2,New London,-71.9741,41.4399000000001
17300,15016,2003,Titicus River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",RIDGEFIELD,8104,150162003,6,Fairfield,-73.5291999999999,41.3304000000001
17308,15016,2019,Titicus River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",RIDGEFIELD,8104,150162019,1,Fairfield,-73.5291999999999,41.3304000000001
17319,15017,1991,Fivemile Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",OXFORD,6000,150171991,15,New Haven,-73.1597,41.3846
17323,15017,2003,Fivemile Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",OXFORD,6000,150172003,107,New Haven,-73.1597,41.3846
17328,15017,2006,Fivemile Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",OXFORD,6000,150172006,10,New Haven,-73.1597,41.3846
17335,15018,2003,Farm River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NORTH BRANFORD,5112,150182003,4,New Haven,-72.771,41.4063
17366,15020,2010,Eightmile River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LYME,4800,150202010,1,New London,-72.3391999999999,41.4300000000001
17379,15020,2012,Eightmile River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LYME,4800,150202012,12,New London,-72.3391999999999,41.4300000000001
17427,15024,2003,Wood Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BETHLEHEM,6804,150242003,47,Litchfield,-73.2361999999999,41.6387
17432,15024,2011,Wood Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BETHLEHEM,6804,150242011,29,Litchfield,-73.2361999999999,41.6387
17439,15024,2018,Wood Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BETHLEHEM,6804,150242018,17,Litchfield,-73.2361999999999,41.6387
17452,15025,1991,Pomperaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SOUTHBURY,6800,150251991,2,New Haven,-73.2252,41.4812000000001
17470,15035,1992,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LITCHFIELD,6906,150351992,52,Litchfield,-73.115,41.7472000000001
17476,15035,2003,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LITCHFIELD,6906,150352003,45,Litchfield,-73.115,41.7472000000001
17482,15035,2006,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LITCHFIELD,6906,150352006,8,Litchfield,-73.115,41.7472000000001
17494,15035,2016,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LITCHFIELD,6906,150352016,27,Litchfield,-73.115,41.7472000000001
17501,15035,2019,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LITCHFIELD,6906,150352019,11,Litchfield,-73.115,41.7472000000001
17525,15042,2012,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CORNWALL,6008,150422012,2,Litchfield,-73.3634,41.8720000000001
17542,15042,2018,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CORNWALL,6008,150422018,11,Litchfield,-73.3634,41.8720000000001
17547,15042,2019,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CORNWALL,6008,150422019,1,Litchfield,-73.3634,41.8720000000001
17569,15043,2012,Furnace Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CORNWALL,6010,150432012,2,Litchfield,-73.3713,41.8212
17608,15044,1992,Kent Falls Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",KENT,6012,150441992,14,Litchfield,-73.4192,41.7769000000001
17644,15044,2023,Kent Falls Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",KENT,6012,150442023,3,Litchfield,-73.4192,41.7769000000001
17659,15046,2008,Charters Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",TOLLAND,4501,150462008,42,Tolland,-72.4035,41.9062000000001
